,Embedded_text,dialect
31,"راحت هيبة كيونق ، محد يخاف منو الا تشان .
ᴀʏᴀ.
@sehunownsme
 · Jul 7, 2018
I love that Sehun isn’t afraid of Kyungsoo at all lmfaoooo
0:17
93.4K views",H
32,"امانة احب لمن بيكي يحارشهم .
مرامم
@9elomr
 · Jul 8, 2018
الحيوان يعرف انو عندو هوس نطافه قام يدخل المايك ف فمو ويمسح فيه 
1
8",H
33,"دحين بيخلص من كل المحلات وكل المواقع بتبيعو وبرضو بيخلص.
EXOPASSION
@EXOpassion
 · Jul 7, 2018
180707 | حفل The ElyXion في كوالالمبور - كاي كان يحمل هذا الدب عندما التقط سيلكا بهاتف معجبة

@weareoneEXO 
-H",H
34,"نيكوهاجاا  ، امانة اشتقت لأيام ترويجهم لها ، اتمنى انهم فيوم من الأيام يرجعو يغنوها بس مع هويا ، ادري انو شي مستحيل بس مازلت اتمنى ذا الشي .
Eudia
@high10sion
 · Jun 29, 2018
Myungsoo singing to Be Mine ~ aw high note ㅋ

#미스함무라비 #명수 #김명수 #엘 #임바른",H
35,"اصوات الاكسوالز وهما يغنو . https://twitter.com/thunderlight421/status/1014134072015110146…
This Tweet is unavailable.",H
36,"ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه.
EXOPASSION
@EXOpassion
 · Jul 3, 2018
180703| سيهون قام بمتابعة حساب triple_s_4545 لكنه قام بإلغاء المتابعة فورًا. 
@weareoneEXO 
-D",H
37,"كومباك.
EXOPASSION
@EXOpassion
 · Jul 3, 2018
180703| معجبة رأت سوهو اليوم أمام مبنى SM. 

@weareoneEXO 
-G
0:17
2,195 views",H
38,"ان شاء الله الحق اشتريه .
EXOPASSION
@EXOpassion
 · Jul 3, 2018
180703 | تحديث تويتر اكسو "" سيتم اصدار كتاب الصور الشخصية الخاص بِـ تشينبيكشي في تاريخ 17 يوليو، مع صور للاعضاء الثلاث وتعليقاتهم الخاصة، سيُفتح الطلب المُسبق في الـ 3 من يوليو"" .

@weareoneEXO 
-B https://twitter.com/weareoneEXO/status/1013955142910017536…",H
39,"كومباك.
EXOPASSION
@EXOpassion
 · Jul 3, 2018
180703| معجبة رأت سوهو اليوم أمام مبنى SM. 

@weareoneEXO 
-G
2,195 views
0:04 / 0:18",H
40,"I voted for #TeamEXO on 
@TheTylt
—
@weareoneEXO
’s new album ‘The War’ has put them back on top of the charts http://fb.me/7RdDHhUks",H
41,"حبيت ، كتري من الاقتباسات بالله .
ليان
@Layan_sami
 · Sep 19, 2018
ميدانكم الأول أنفسكم فإن انتصرتم عليها كنتم على غيرها أقدر وإن أخفقتم في جهادها كنتم عما سواها أعجز فاجربوا الكِفاح معها أولًا واذكروا ان الدنيا جميعًا تترقب جيلًا من الشباب الممتاز بالطهر الكامل،والخُلق القوي الفاضل، فاكونوا انتم هذا الشباب ولا تيأسوا

-حسن البنا",H
42,"بكل كومباك لووهيون او قيو ، يجي ميونق ويدعمهم حتى وهوا ف عز انشغالو .
ARAB WOOHYUN
@Arab_newclears
 · Sep 6, 2018
تسليه[♡].
ميونغسو الذي اتى لدعم ووهيون خلال تصوير الفيديو الموسيقي لألبومه المنفرد الاول و الثاني.",H
43,"من جد قلة ادب و وقاحة اصلًا ، الأدمي راجع تعبان يادوب قادر يتنفس ، وذولا يستقبلوه بهمجيه ، كان واضح اصلًا بعد ماخرج من المطار انو زعلان ومعصب.
EXOPASSION
@EXOpassion
 · Sep 5, 2018
180905| ترجمة تحديث انستقرام تشانيول.

@weareoneEXO 
-R
Show this thread",H
44,"comebackkkkkkkk.
KPOP PREDICTIONS
@exopredictions
 · Sep 4, 2018
I SMELL SOMETHING",H
45,"امانة اقسم بالله لو انهم ماقالو انو بيك ماكان عرفتو .
EXOPASSION
@EXOpassion
 · Oct 31, 2018
181031| شيومين و بيكهيون في حفل SM الخاص ب الهالوين. 
@weareoneEXO
-G
https://twitter.com/ppptaem_/status/1057577694525718529/video/1…",H
46,"لطيف .
EXOPASSION
@EXOpassion
 · Oct 20, 2018
181020 | اكسو من الحفل الافتتاحي لِـ مهرجان 2018 BOF - بيكهيون قام بحركة القلب خلال اداء power .
 
@weareoneEXO
-X https://twitter.com/luckyyou48/status/1053623114335055873/video/1…",H
47,"ياربببب  ، وياليت تكون الحلقات يعني اقل شي ساعة ونص.
مرامم
@9elomr
 · Oct 10, 2018
كام ف مسكن اكسو يارب برنامج واقعي يارب برنامج واقعي يارب واقعي برنامج يارب واقعي برنامج",H
48,"المنظر مره مريح للنظر ، واول صورة عاليسار كأنك ف كوريا.
ليان
@Layan_sami
 · Oct 8, 2018
Show this thread
1",H
49,"لااااا امانة لاااا ! ماصدقنا انو طول شعرو مالحقنا ننبسط ف شعرو الطويل لااااااا! يارب يمزح.
EXOPASSION
@EXOpassion
 · Nov 16, 2018
181116 | اكسو من حدث توقيع المعجبين لالبوم DMUMT -  كيونغسو قال بانه سوف يقص شعره في الغد بسبب انهُ لا يحب شعره الطويل لذلك سوف يقصه في الغد.

@weareoneEXO
-B",H
50,"Replying to 
@janarek95
موجود عالمواقع ومترجم اكتب بقوقل واختار الموقع الي يعجبك ، ولكن كنصيحة مني لاتتابعو ، لأنو تافهه جدًا حتى النهاية كانت ماش ، وانا ندمت بصراحة لأني تابعتو وضيعت وقتي عليه .",H
51,"ضحكتو ترد الروح والله العظيم.
EXOPASSION
@EXOpassion
 · Apr 20, 2019
190420| تشين مِن حدث توقيع ألبومه الأول April, And A Flower في ديغو - مُعجبة قامت بقصيدة بِاسم تشين.
تشين: جونغ!
معجبة: جونغداي هل يمكنني حبك لبقية حياتي؟
تشين: داي! (تشبه نطق كلمة أجل باللغة الكورية)
المعجبة: حسنًا~

@weareoneEXO
-L
https://twitter.com/rrrrram21/status/1119558154881159168/video/1…",H
52,"Replying to 
@gaixuda
واكره شيء لمن ذا الشخص يجي يزعجك ليش ماكلمتيني اليوم ويزعل ولازم تراضيه؟؟؟؟ ، يعني ما ادري انا ماعندي حياه غيرك ولا ايش؟
1
1",H
53,دحين لو ابغه اشتري بث اكسو على الفي لايف ، بس ماعندي فيزا ، اقدر بطريقة غيرها؟؟.,H
54,"Replying to 
@_overshiring
انا ابغه اي احد اقط معاه ، لأنو ماعندي فيزا ، ابغه اشوف البث حتى مع انهم حيقطعوه الاس ام التبن وماحنشوف الانكور ، بس زي مايقولوا ريحة ابو علي ولاعدموا.",H
55,"Replying to 
@_overshiring
انا",H
56,"Replying to 
@gaixuda
بكل فصل اكذبي على نفسك قولي هادا اخر فصل وروحي للي بعدو هادا اخر فصل لين ماتنتهي من الكتاب بكبرو....
1",H
57,"يادموعي لاتطيحي
INFINITE.NEWS
@ArabinftNews
 · Jun 9, 2020
سونغ قيوو أخطأ وقال أعضائنا السبعة ثم قال اه أصبحنا ستة الآن

#인피니트 
@Official_IFNT
#인피니트_10주년_우리는_네버엔딩
#10YearsWithInfinite
Show this thread",H
58,"احب الصور الي بدون طحين الكوريين 
hourly baekhyun
@bbhperhour
 · Jun 5, 2020
5:06 백현시",H
59,"مالقيو يحطو الاعلانات الا وقت ضحكو؟؟؟ نبغه نسمع صوتو وهوا يضحك طيب....
**
@byuncorgii
 · Jun 3, 2020
Baekhyun literally about to fall from that chair bec of laughing so much ",H
60,"الله يلعنهم شدخل بيك يخسروه  ، اكله هم رد فعل بيك لمن يعرف يارب ماتتدهور نفسيتو 
Arab Eries
@ArabEries
 · Jun 1, 2020
- بسبب المظاهرات التي تحدث الان في امريكا ف على مايبدو انه تم الاستيلاء على المكان الذي يقع به متجر ماركة بيكهيون Privé في لوس انجلوس وسرقة جميع مافيه.
@weareoneEXO 
-F",H
61,"اوه سيهوني ، احب علاقة الهيونق والماكني جدًا
Arab Eries
@ArabEries
 · Jul 4, 2020
- سوهو ذهب الى ذات المطعم الذي كانت تأكل به المعجبه بنفس الوقت وطلبت منه توقيعه لذا اخرجت له الصورة ليوقع لها عليها وعندما قلبها سوهو قال لها "" اوه انه سيهوني"" وكانت ردة فعله لطيفة جدًا ㅋㅋㅋ♡︎
@weareoneEXO 
-F",H
62,"هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه ، تعليم بيك
يوهان
@u_han94
 · Jul 2, 2020
سيهون : خلاص سرب اغنية وقفل البث 
تشانيول :",H
63,"فوزي اليوم
EXOPASSION
@EXOpassion
 · Jun 30, 2020
200630| [ خبر ] تم رفع حظر الـ Hallyu عن دولة الصين مما يعني أن ييشينغ سيمكنه العودة للعمل مع اكسو والترويج معهم، وربما سنحصل على أعمال سيهون Cat man و Dear archimedes قريبًا !!

@weareoneEXO 
- F",H
64,"جوي الغزل الرخيص والله
يوهان
@u_han94
 · Sep 15, 2020
رحت محل الساعات اشتري ساعة يا سيهون بس مالقيت ساعة اغلى من الساعة الي عرفتك فيها
0:22
491.1K views",H
65,"جوي الغزل الرخيص والله
يوهان
@u_han94
 · Sep 15, 2020
رحت محل الساعات اشتري ساعة يا سيهون بس مالقيت ساعة اغلى من الساعة الي عرفتك فيها
491.1K views
0:02 / 0:24",H
66,"التجنيد برضو
Sehun Shouter
@SehunShouter
 · Oct 6, 2020
الموسم الاول نسخة التجنيد
الموسم الثاني نسخة الزواج
الموسم الثالث نسخة التجنيد
الموسم الرابع نسخة ؟؟؟؟؟ twitter.com/ArabEries2/sta…",H
67,"تيم سونهو 
سناريا
@llongniell
 · Nov 21, 2020
تحديت سوزي مع جوهيوك       مع سونهو",H
68,"Replying to 
@pinkriiri
ماضبط معايا!!",H
69,"Replying to 
@pinkriiri
تكفين كيف علميني؟",H
70,الي تعرف كيف اشتري كونسرت بيكهيون لايت على الفي لايف ، تعلمني بليز,H
71,"مستعدة بس خليهم ينزلو الخبر 
Arab Eries
@ArabEries
 · Jan 29, 2021
""كاي اخبرنا ان نتطلع للكثير من الاخبار الجيدة لهذا العام""
"" سيهون قال انه يجهز لهذا وذاك ولم يتبقى الكثير من الوقت""
"" بيكهيون قال ان اعضاء اكسو قد التقوا وحظوا باجتماع كبير وسيكون هناك انشطة لاكسو (كفرقة) لهذا العام""
ايريز كونوا مستعدين 
@weareoneEXO
GIF
ALT",H
72,"!!!
هانثل | HANTHL
@u2nd1
 · Jan 25, 2020
الصين حاليًا تعيش اضطراب شبيه لعالم "" ريزدنت إيفل "" 

انتشر فيها فيروس قاتل وخطير، سبب في منع السفر لبعض المدن حتى وصل الى اغلاق مدن بأكملها وحظر مواطنيها للخروج من المنازل، الفيروس في توسع كبير واحتمالات انه ممكن يكون وباء، وشكوك حول أسباب انتشاره.. فتابعوا معي (القصة كاملة)
Show this thread",H
73,"يستاهل كل جوائز العالم والله
아무개
@aamuuga2
 · Jan 23, 2021
2020 APAN Star Awards 레드카펫 #이도현 18어게인 고우영으로 신인상 수상 

축하해 도현아 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
Show this thread",H
74,"مسلسل السنة ايتايوان كلاس؟؟؟ ابدًا مايستحق ، ذوقهم في انحدار
Asiaholic / آسيا هوليك
@asiaholc
 · Jan 23, 2021
أسماء الفائزين في حفل جوائز نجم آبان لعام ٢٠٢٠
https://asiaholic.net/?p=77958",H
75,"يمههه قاعدين يدربوه على اوبسيشن!!! ، تكفى تعالو أدوها معاه وخلونا نشوفكم ك اكس من جديد
EXO
@weareoneEXO
 · Mar 20, 2021
#XIUMIN ON : XIUWEET TIME Practice Room # 1 

ON : XIUWEET TIME을 준비중인 XIUMIN의 일일 안무 선생님 EXO
XIUMIN은 어떤 안무를 배우고 있을까요??

궁금한  여러분 모두 3/27 (토) ON : XIUWEET TIME 만나요~!

#시우민 #XIUMIN
#엑소 #EXO #weareoneEXO
Show this thread",H
76,"كل يوم تزيد جمال
OHKPOP
@OHKPOP9
 · Mar 15, 2021
الرائعة عضوة BLACKPINK ليسا من غلاف مجلة ELLE KOREA عدد أبريل.

-P",H
77,"خطة اليوم
مَرْيم
@iiee1_
 · Mar 11, 2021
طريقة الكوكيز بالتفصيل igtv هنا :
https://instagram.com/tv/CMSMHhvgCM8/?igshid=vjn8l23cg244…
بوست نزلته نجاوب على استفساراتكم :
https://instagram.com/p/CMSYQruArKx/?igshid=1xia50jev7spf…
Show this thread",H
78,"احسن يارب تفلس
Arab Eries
@ArabEries
 · Mar 12, 2021
- حسب مقال KTB المُتداوِل مِن المتوقع ان تنخفض نسبه مبيعات البومات الـ SM في عام 2021 بنسبه 20% أي 7.24 مليون نسخة تم بيعها في العام الماضي ، نتيجة لِتجنيد اعضاء EXO الذين كانوا مسؤولين عن المبيعات المُرتفِعة في عام 2020 

@weareoneEXO 
-L",H
79,"الله ياخد العدو احس بستفرغ من قرفهم 
أ.عمير
@200td
 · Jan 10, 2021
في هذه الأثناء كانت هذه العائلة المتوحشة تزداد عددا في الأبناء والاحفاد عن طريق زواج الأخوة بالأخوات ، ومع ازدياد عددهم زادو توحشا وبشاعة وكان الجميع يشارك في هذه الأعمال الإجرامية والوحشية بحذر ،
Show this thread",H
80,"هرمنا ياخوي
Arab Eries
@ArabEries
 · Mar 8, 2021
- تم تأكيد عرض فيلم Catman من بطولة سيهون في صالات السينما و tencent videos بتاريخ 14 هذا الشهر، كما ان هذه اول مرة يُعرض بها محتوى على شاشات العرض الكبيرة في الصين ويظهر بها كوري كشخصية رئيسية منذ قضية THAAD في عام 2016.
@weareoneEXO 
-F
1",H
81,"اسوأ قائمة شُفتها بحياتي ! ، ولسه الكوريا بو وعبيد الاوبا يدافعو المقرفين يع ، يارب يتعاقب ولا يرجع للتمثيل او للشاشة بكبرها ابدًا القذر.
Asiaholic / آسيا هوليك
@asiaholc
 · Mar 3, 2021
قائمة بكل اتهامات التنمر والعنف المدرسي والاعتداء الجنسي التي وُجهت ضد الممثل جي سو حتى الآن
https://asiaholic.net/?p=79074",H
82,"احسن ليتهم كلهم ويروحو لشركة تستحقهم وتروج لهم تمام ، لأن ووليم شركة سيئة ماتستحق اي فنانين عندها ، ماعندهم لا ادارة  كويسه ولا حتى افكار عدله.
INFINITE INFO (Semi-Hiatus)
@ifntinfo
 · Feb 28, 2021
According to Sunggyu, he's not renewing with Woollim (contract expires on March 6) but he's still a part of INFINITE. There will be a last album coming out under Woollim. 
Show this thread",H
83,"الله ياخدهم
Arab Eries
@ArabEries
 · Feb 28, 2021
- قرروا Kakao M  ازالة الاغاني التي قاموا بتوزيعها من على سبوتفاي ومن اغاني اعضاء اكسو التي تم ازالتها:
 تشانيول: Minimal Warm و Anbu
و Ocean View و Go Away Go Away
بيكهيون: Leo و My love و Happy و Rain
تشين: Your moonlight 
كيونقسو: Crying out 
سوهو: do you have a moment
-F
Show this thread",H
84,"Replying to 
@SMTOWNGLOBAL
 and 
@superm
ياراسييي وقت سيء يوم جمعة وكمان الساعه ١ ظهر!",H
85,"منافقه محظوظه كريهه 
يوهان
@u_han94
 · Apr 4, 2021
كاندي طراش وش سوت فحياتها عشان بيكهيون يميزها بهالشكل !؟؟؟؟ اللهم حسد",H
86,"ابكيييي
Arab Eries
@ArabEries
 · Apr 3, 2021
- ترجمة رسالة بيكهيون على موقع المعجبين 

"" سبب اخباري لكم هذا الان و لانه شيء لم اخبركم عنه حتى الان هو بسبب ان هناك الكثير من الايريز يسألون عن سبب قيامي بالخدمة العامة وكما ان هناك اشخاص يتساءلون ان كانت نوع من المعاملة الخاصة....""
@weareoneEXO
Show this thread",H
87,"كأنها انا
𝚂𝙰𝚄𝙳𝙸 𝚅𝙾𝙶𝚄𝙴
@VogueSaudi
 · Mar 29, 2021
هيييللب يابنات بفك التقويم  شرايكم الشفاف احسن ولا المتحرك العادي شنو تجاربكم — انا كنت مسويه تقويم وركبت بعدها المتحرك وندمت
لان صديقاتي ركبو ثابت وماشاءالله لحد اللحين اسنانهم ماتغيرت وانا رجعت زي اول لو كنت مركبة ثابت افضل:( https://curiouscat.qa/VogueSaudi/post/1198398409…",H
88,"نوف
@wqvz24
 · Apr 1, 2021
جين : يا إلهي
 لذلك كنت تحاول صبغ شعرك ، فلا عجب أنك واصلت ضرب الطماطم على رأسك!",H
89,"ويت يعني الساعه ١١ صباح في بث ، والساعه ١٢ الام في ، والساعه ١ الانبوكسنق مضغوووطه
Light Baek ✷
@OfficialLightBH
 · Mar 30, 2021
Replying to @B_hundred_Hyun
21.03.30|| ترجمة تحديث بيكهيون.

"" سأفعل بث محتويات الألبوم هذه الليلة حوالي... الساعة 7 مساءً بتوقيت كوريا!!"".

-H",H
90,"بيك دايمًا مايرتاح الا لمن يسرب لنا كل شيء
EXOPASSION
@EXOpassion
 · Mar 30, 2021
210330| تحديث تويتر بيكهيون ردًا على مُعجبة

مُعجبة: ""بيكهيون-اه، سوف تُظهر لنا نسخ Jewel Case أيضًا صحيح !؟ اككك أنا أتطلع لذلك""

بيكهيون: ""سأريكم كل شيء!!!  كل شيء!!"" 

@weareoneEXO 
-𝐙 twitter.com/B_hundred_Hyun…",H
91,"اكره الاس ام
﹝돋뽕﹞
@DODBBONG
 · Mar 29, 2021
SM 뭐함? 자냐? 

#SM_TreatKyungsooBetter
#SM_경수를_위해_일해라
@weareoneEXO @SMTOWNGLOBAL
Show this thread",H
92,"ببكي
The following media includes potentially sensitive content. Change settings
View
1",H
93,"Replying to 
@EXOpassion
 and 
@weareoneEXO
دحين الكوريات يصيحو وينهاروا ",H
94,"Replying to 
@omay9a
 and 
@OAlniyadi
هههههههههههههههههههههههههههههه",H
95,حزينه وانا اشوف الكل مشترك ف كلاس بامبي مع بيك ، وانا ما اقدر عشان عندي اختبار نهائي الأحد وبكون منكدة.,H
96,"Replying to 
@Kdramastars1
اكيد دورو بيكون فاسد وشرير كالعاده ",H
97,من قهر الانتظار ضغطت على الايموجي بدون ما انتبه اني حطيت بشكل مبالغ فيه,H
98,"متى تجي الساعه ٩:٤٠ عشان اختبر وافتك من الهم متى؟؟؟؟؟
1",H
99,"واو ابغاها!!! ليش مايبيعوها لنا كمان اونلاين
쉰花
@xunhuas
 · Jun 19, 2021
Photocards from the EXO XR Gallery Offline Exhibition
Show this thread",H
100,"ليت عندنا كدا ، واشتري فوق ال١٠ نسخ بدون ما اكل هم الشحن الي اغلى من الالبوم نفسو
(⊼⌔⊼) inactive
@quinsehun
 · Jun 11, 2021
took a pic with Baekhyun x TirTir standee while waiting for the staff to display the DFTF albums  백현이 말랑말랑 
Show this thread",H
101,"حركة طفوليه متوقعه منهم
Nitizen Arabic
@Nitizen_Arabic
 · Jun 6, 2021
[ #NEWS ] معجبين فرقة EXO يهاجمون وكالة SM مجدداً بسبب نفاذ مخزون الطلب المسبق لالبومهم المميز القادم Don't Fight The Feeling فى أكثر من موقع، للمرة الثانية بعد البومهم الأخير Obsession الذى أعادت أكثر من منصه بيع أموال المعجبين بسبب عدم توفير الوكالة للالبوم
Show this thread",H
102,جلست ٣ ساعات افكر لأني محتارة اطلب البلوراي ولا الدي في دي ، بس وقع الاختيار بالنهايه على الدي في دي,H
103,حسابي قاعده افتحو واقفلو كل شويه لأني ما احس براحة وقت ما اخليه مفتوح ، ولكن ذي المره بصمل واخليه يومين مفتوح او يمكن اسبوع عشان اتعود,H
104,اكره كلمة مهدو الطريق ، اتمنى انكم توقفو تقولوها لأن محد مهد لأحد ، كل فرقة تعبت واشتغلت على نفسها حتى تشهر نفسها بنفسها ف بطلو حركات طفوليه...,H
105,"ربي أستودعك مبسَم أبي، و قلب أُمي، وفرحة أخوتي، وسعَادة عَائلتي، اللهُمَ أني أستودعتك أرواحاً أخشى عليها أكثر من ذاتي.
1
2",H
106,"يارب أدعوك دعاء لا أعرف كيف أرتبه، فأنت تبصر الفؤاد، وتلمس حاجة قلبي بيدك، فاللهم أيام كما أحب، وحالاً إلى ماهو أفضل، وهمًا لا يبقى قائمًا في صدري، وفرحة ليس لها انتهاء. اللهم أمنياتي التي أنتظرها ، طوّق قلبي بعقودٍ من الرضا والراحة.
1",H
107,اللهم أخرجني من حولي إلى حولك، ومن عزمي إلى عزمك، ومن ضعفي إلى قوّتك.,H
108,"لاَ إلهَ إلَّا الله وَحدهُ لا شَريكَ لَه، لهُ المُلك، ولهُ الحمدُ، وهُو علَى كلِّ شيءٍ قَدِير .
1
4",H
109,يع اكره التويتر ومشاكل التويتر والناس الي بالتويتر ، كل مابحثت اكتر كل ماتنرفزت وعصبت اكتر ، انا مدري ليش جايه هنا ماهو مكاني اساسًا ! خليني ف الانستا مع المسالمين اريح لي ولراسي .,H
